"No","Nama Perusahaan","Merek Dagang","Kota","Alamat","Telepon/WA","Email","Website","Jenis","Link HIMPUH","Status Follow-up","Catatan"
"1","PT. Aida Tourindo Wisata","AIDA TOUR","Jakarta","Jl. Cempaka Putih Tengah No. 33, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10510","+62214254686","aidatourindo@gmail.com, aidatourindo33@yahoo.co.id","www.aidatourindo.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/1","Belum dihubungi",""
"2","PT. Al Amin Mulia Lestari","ALAMINMULIATOUR","Tangerang","Kawasan Bisnis CBd Ciledug Blok A5 No. 21, Karang Tengah, Tangerang, Banten, 15157","+622173451933","alamin.mulia2904@gmail.com, operasional.hajiumrah@gmail.com, alaminmuliafinance@gmail.com","www.alaminmulia.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/2","Belum dihubungi",""
"3","PT. Abdi Umat Wisata International","Attin Tour","Jakarta","Jl. Lap. Tembak No. 39, Ciracas, Jakarta Timur, DKI Jakarta, 13720","+622184310066","attintourtravel@gmail.com","www.attintour.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/3","Belum dihubungi",""
"4","PT. Adzikra","ADZIKRA","Jakarta","Pusat Niaga Duta Mas Fatmawati Blok C 2 No. 11-12, Jl. Fatmawati Raya No. 39, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12150","+62217231344","marketingadzikra@yahoo.com, info@adzikra.com","www.adzikra.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/4","Belum dihubungi",""
"5","PT. Al Ahram Sarana Wisata","AL AHRAM","Jakarta","Jl. Tebet Barat IX No. 58 Lt. 1 , Tebet, Jakarta Selatan, DKI Jakarta, 12810","+622183700876","al_ahramjkt@yahoo.com, alahramhaji@gmail.com","www.alahramhajiumrah.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/5","Belum dihubungi",""
"6","PT. Alfida Tour And Travel","ALFIDA TOUR & TRAVEL","Jakarta","Jl. Dewi Sartika No. 321a, Kramat Jati, Jakarta Timur, DKI Jakarta, 13630","+62218017467","alfida_jkt@yahoo.co.id, alfidaaf321@gmail.com","www.alfidatravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/8","Belum dihubungi",""
"7","PT. Al Hijaz Indowisata","PT. AL HIJAZ TOUR & TRAVEL (AIW)","Jakarta","Graha Alhijaz Lt. 3. Jl. Dewi Sartika,no.239 A, Kramat Jati, Jakarta Timur, DKI Jakarta, 13630","+62218012222","alhijaz_indowisata@hotmail.com","www.alhijazindowisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/9","Belum dihubungi",""
"8","PT. An-Naba International","AN NABA","Jakarta","Mt. Haryono Square Of 1/9, Jatinegara, Jakarta Timur, DKI Jakarta, 13330","+622129067285","an_naba09@yahoo.com","www.annaba_int.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/10","Belum dihubungi",""
"9","PT. Andiarta Dewata","Andiarta Wisata","Jakarta","Graha ADPD Jl. Buncit Raya No. 101, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510","+62217902230","Andiarta@google.com, andiarta.info@yahoo.com, info@andiarta.co.id","www.andiartawisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/13","Belum dihubungi",""
"10","PT. Annatama Purna","Annatama","Jakarta","Gedung Mt. Haryono Square Lt 1/21, Jl. Otista Raya No. 390, Jatinegara, Jakarta Timur, DKI Jakarta, 13330","+622129575290","annatamatravel@yahoo.co.id, annatamatravel@gmail.com","www.annatamatravelumroh.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/15","Belum dihubungi",""
"11","PT. Anugerah Citra Mulia","ANUGERAH WISATA","Jakarta","Utan Kayu Raya No 81 RT/RW 001/008 Jaktim, Matraman, Jakarta Timur, DKI Jakarta, 13120","+622122326259","acm.anugerahwisata@gmail.com","anugerahwisata.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/17","Belum dihubungi",""
"12","PT. Arrayyan Utama","ARRAYYAN UTAMA","Jakarta","Wisma Bsg Jl. Abdul Muis No. 40, Gambir, Jakarta Pusat, DKI Jakarta, 10160","+62213514802","arrayyantour@yahoo.com, edysetiawan1950@yahoo.co.id, arrayyantour@yahoo.co.id","www.arrayyanutama.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/21","Belum dihubungi",""
"13","PT. Asia Utama Wisata","ASIATOUR","Jakarta","Jl. Ciputat Raya No. 4B, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240","+62217201061","marketing@asiatour.co.id","www.asiatour.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/22","Belum dihubungi",""
"14","PT. Balda Citra Mandiri","BALDA HAJI & UMRAH","Jakarta","Jl. Wijaya I No. 8, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12170","+622172791209","balda_wisata@yahoo.co.sg, care@baldacitra.com","www.baldacitra.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/25","Belum dihubungi",""
"15","PT. Dian Nusa Insani","DNI","Jakarta","Jl. Mampang Prapatan Raya No. 69, Mampang Prapatan, Jakarta Selatan, DKI Jakarta, 12790","+622179195808","insani_travel@yahoo.co.id","www.insanitravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/28","Belum dihubungi",""
"16","PT. Dua Ribu Wisata","DRW","Jakarta","Jl. Dewi Sartika No. 69 A, Kramat Jati, Jakarta Timur, DKI Jakarta, 13630","+622180882000","info@duaribuwisata.com, duaribuwisata@yahoo.co.id","www.duaribuwisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/29","Belum dihubungi",""
"17","PT. Fajrul Ikhsan Wisata","ESQ Tour & Travel","Jakarta","Gd. Menara 165 Lt. Dasar Lobby Office, Jl. Tb Simatupang Kav 1 Rt.008/003, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12650","+622129406350","info@esqtours.com, umrah.haji@esqtours.com","www.esqtours.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/30","Belum dihubungi",""
"18","PT. Biro Perjalanan Wisata Fattur","PT. FATTUR TOUR & TRAVEL","Jakarta","Jl. Matraman No. 16a, Senen, Jakarta Pusat, DKI Jakarta, 10430","+62213107773","eks.anggota.himpuh@gmail.com","www.kaltrabu.co.id","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/33","Belum dihubungi",""
"19","PT. Gema Shafa Marwa","GSM","Jakarta","Ruko Mutiara Faza, Jl. Condet Raya No. 27/rc, Pasar Rebo, Jakarta Timur, DKI Jakarta, 13760","+622187782122","gsmhajiplus@yahoo.co.id, gsmhajiplus@gmail.com","www.gemashafamarwa.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/34","Belum dihubungi",""
"20","PT. Goenawan Erawisata Tour & Travel","Goenawan Era Wisata Haji & Umroh","Tangerang","Bussines Park Tangcity B.25, Jl. Jenderal Sudirman No. 01, Tangerang, Tangerang, Banten, 15117","+622155733001","goenawan_hajiumroh@yahoo.com, goenawan_visa@yahoo.co.id","www.malikgrup.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/35","Belum dihubungi",""
"21","PT. Hawla Mabrur","Hawla Mabrur Tour & Travel","Jakarta","Jl. Pegambiran No. 42 A, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13220","+62081319311904","ahinfo@ymail.com","www.hawlabarur.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/36","Belum dihubungi",""
"22","PT. Indah Safarina","SAFARINDO TOURS & TRAVEL","Jakarta","Jl. Raya Ps. Minggu Km. 18,2 No. 6G, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510","+622179184481","safarindotravel@yahoo.com, safarindotourtravel@gmail.com","www.safarindotravel.web.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/39","Belum dihubungi",""
"23","PT. Intan Salsabila","INTAN SALSABILA","Jakarta","Jl. Tebet Barat Dalam Raya No. 55 C, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+622183705341","intansalsabila.travel@gmail.com, umrahajj.intansalsabila@yahoo.com","www.intansalsabila.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/41","Belum dihubungi",""
"24","PT. Khadim Permata Tour","KHADIM WISATA","Bogor","Jl. Lawanggintung No.25 , Bogor Selatan - Kota, Bogor, Jawa Barat, 16133","+622518380789","khadim_wisata@yahoo.com, khadimwisata@gmail.com","khadimwisata.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/45","Belum dihubungi",""
"25","PT. Madani Bina Bersama","MADANI TOURS & TRAVEL","Jakarta","Jl. Tebet Barat Dalam Raya No. 73, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+62218295850","madani_tourstravel@yahoo.co.id","www.madanitourstravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/46","Belum dihubungi",""
"26","PT. Masindo Buana Wisata","Masindo Tour","Jakarta","Jl. Tebet Raya No. 38a, Tebet, Jakarta Selatan, DKI Jakarta, 12820","+62218293250","masindo_tour@yahoo.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/47","Belum dihubungi",""
"27","PT. Mumtaz Sabila Mabrur","MUMTAZ TOURS & TRAVEL","Jakarta","Jl. Terusan I Gusti Ngurah Rai Ruko Spbu No. 11, Duren Sawit, Jakarta Timur, DKI Jakarta, 13460","+622122814366","mumtaz_sm07@yahoo.co.id, mumtazsabilamabrur@gmail.com","www.mumtaztours.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/53","Belum dihubungi",""
"28","PT. Biro Perjalanan Wisata Neekoi","NEEKOI WISATA","Bekasi","Komp. Ruko Ratna Asri Residence No. 1 Jl. Raya Dr. Ratna, Babelan, Bekasi, Jawa Barat, 17422","+622184793133","eks.anggota.himpuh@gmail.com","www.neekoi.com","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/54","Belum dihubungi",""
"29","PT. Nipindo Antar Wisata","NIPINDO TOUR & TRAVEL","Jakarta","Jl. Pegambiran No. 5 Kel Jati, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13220","+622129833000","nipindo_travel@yahoo.com, nipindo_rosanatravel@yahoo.com","www.nipindotravel.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/55","Belum dihubungi",""
"30","PT. Noorhana Pertiwi Tour & Travel","NOORHANA PERTIWI","Jakarta","Perkantoran Nirwana Sunter Asri Blok J-2 No. 6 Tahap Iii Jl. Sunter Permai Raya, Tanjung Priok, Jakarta Utara, DKI Jakarta, 14340","+62216512868","noorhana78@yahoo.co.id","www.noorhanapertiwi.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/56","Belum dihubungi",""
"31","PT. Nurul Amanah Sirindo","AMANAH TOUR","Jakarta","Graha Mustika Ratu, Jl. Gatot Subroto Lt. Gf No. 74-75, Tebet, Jakarta Selatan, DKI Jakarta, 12870","+622183705286","amanahtour@hotmail.com","www.amanahsemestatour.blogspot.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/57","Belum dihubungi",""
"32","PT. Pandu As Shofa","Ashofaa Tour & Travel","Jakarta","Puri Sentra Niaga, Jl. Tarum Barat Blok A/14,kel. Kalimalang, Makasar, Jakarta Timur, DKI Jakarta, 13620","+62218603940","pastravel14@gmail.com, ashofaatourtravel@gmail.com","www.panduasshofa.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/58","Belum dihubungi",""
